date,AdrActCnt,CapMrktCurUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2017-07-13,3,,1407000000,,14070000000,,,,,,1407000000,1,1,0.1,,0.1,,0.1,,0.1,,,,
2017-07-14,2,,0,,1407000000,,,,,,1407000000,1,1,1,,1,,1,,1,,,,
2017-07-15,0,,0,,,,,,,,1407000000,0,0,0,,,,,,0,,,,
2017-07-16,0,,0,,,,,,,,1407000000,0,0,0,,,,,,0,,,,
2017-07-17,0,,0,,,,,,,,1407000000,0,0,0,,,,,,0,,,,
2017-07-18,0,,0,,,,,,,,1407000000,0,0,0,,,,,,0,,,,
2017-07-19,4,,0,,12.50666656,,,,,,1407000000,5,5,112500001,,22500000.2,,1,,112500001,,,,
2017-07-20,2,,0,,18.75123392,,,,,,1407000000,2,2,75035062,,37517531,,37517531,,75035062,,,,
2017-07-21,2,,0,,9380,,,,,,1407000000,1,1,150000,,150000,,150000,,150000,,,,
2017-07-22,0,,0,,,,,,,,1407000000,0,0,0,,,,,,0,,,,
2017-07-23,2,,0,,18.76,,,,,,1407000000,1,1,75000000,,75000000,,75000000,,75000000,,,,
2017-07-24,365,,0,,37.71511382,,,,,,1407000000,422,422,37305999.04083665,,88719.48277212,,16825.913,,37439621.72983665,,,,
2017-07-25,848,,0,,19.19973003,,,,,,1407000000,1120,1120,73282280.40967305,,68025.06701182,,18128,,76188075.05324304,,,,
2017-07-26,2963,,0,,1.7691272,,,,,,1407000000,5069,5069,795307428.3071035,,162500.83342896,,21699,,823716724.65139335,,,,
2017-07-27,888,,0,,12.1147907,,,,,,1407000000,1288,1287,116139026.68751238,,99048.91080623,,20580.19,,127475948.20761239,,,,
2017-07-28,452,,0,,26.39617193,,,,,,1407000000,674,674,53303183.64292105,,83258.16077672,,15899,,56116000.36350606,,,,
2017-07-29,191,,0,,56.72845763,,,,,,1407000000,261,261,24802366.549005006,,100722.83053603,,18010.33641,,26288658.769905,,,,
2017-07-30,106,,0,,158.98733932,,,,,,1407000000,133,133,8849761.2832017,,67127.62731731,,11994.2,,8927974.4332017,,,,
2017-07-31,204,,0,,26.09815956,,,,,,1407000000,304,304,53911847.566176,,202136.50099712,,21797.9,,61449496.303126,,,,
2017-08-01,165,,0,,82.80979337,,,,,,1407000000,236,236,16990744.001412004,,73003.35255696,,21690,,17228791.203442,,,,
2017-08-02,301,,0,,41.7545564,,,,,,1407000000,458,458,33696921.279343046,,77349.99336062,,18591.935,,35426296.95916304,,,,
2017-08-03,787,,0,,20.1418782,,,,,,1407000000,1243,1243,69854458.75561956,,63432.0161029,,14910.075,,78845996.01589958,,,,
2017-08-04,964,,0,,16.08220649,,,,,,1407000000,1669,1669,87487994.92100257,,60760.1656216,,14090,,101408716.42244613,,,,
2017-08-05,374,,0,,87.38556899,,,,,,1407000000,604,604,16101056.68836674,,34866.57404383,,10237,,21059410.72247216,,,,
2017-08-06,582,,0,,83.07631641,,,,,,1407000000,885,885,16936234.78705727,,24704.52462548,,9999,,21863504.29355279,,,,
2017-08-07,613,,0,,43.78984493,,,,,,1407000000,842,842,32130737.210975103,,42913.83139806,,10890,,36133446.03716885,,,,
2017-08-08,421,,0,,25.97186921,,,,,,1407000000,652,652,54173998.359493785,,88556.43709537,,9999,,57738796.98618378,,,,
2017-08-09,370,,0,,104.08101997,,,,,,1407000000,506,506,13518314.87088937,,31779.44288717,,7988.5,,16080398.10090735,,,,
