date,AdrActCnt,CapMrktCurUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2017-07-10,0,,0,,,,,,,,0,0,0,0,,,,,,0,,,,
2017-07-11,0,,0,,,,,,,,0,0,0,0,,,,,,0,,,,
2017-07-12,0,,0,,,,,,,,0,0,0,0,,,,,,0,,,,
2017-07-13,0,,0,,,,,,,,0,0,0,0,,,,,,0,,,,
2017-07-14,0,,0,,,,,,,,0,0,0,0,,,,,,0,,,,
2017-07-15,0,,0,,,,,,,,0,0,0,0,,,,,,0,,,,
2017-07-16,0,,0,,,,,,,,0,0,0,0,,,,,,0,,,,
2017-07-17,0,,0,,,,,,,,0,0,0,0,,,,,,0,,,,
2017-07-18,0,,0,,,,,,,,0,0,0,0,,,,,,0,,,,
2017-07-19,0,,0,,,,,,,,0,0,0,0,,,,,,0,,,,
2017-07-20,0,,0,,,,,,,,0,0,0,0,,,,,,0,,,,
2017-07-21,0,,0,,,,,,,,0,0,0,0,,,,,,0,,,,
2017-07-22,0,,0,,,,,,,,0,0,0,0,,,,,,0,,,,
2017-07-23,44,,5000000,,,,,,,,5000000,0,0,0,,,,,,0,,,,
2017-07-24,50,,0,,27.91346825,,,,,,5000000,51,51,179125,,3512.25490196,,1E-18,,179125.000000000000000299,,,,
2017-07-25,20,,0,,26.54970495,,,,,,5000000,18,18,188326.01,,10462.55611111,,100,,188326.010000000000000001,,,,
2017-07-26,0,,0,,,,,,,,5000000,0,0,0,,,,,,0,,,,
2017-07-27,3,,0,,79.99744008,,,,,,5000000,3,3,62502,,20834,,1,,62502,,,,
2017-07-28,0,,0,,,,,,,,5000000,0,0,0,,,,,,0,,,,
2017-07-29,2,,0,,1600,,,,,,5000000,2,2,3125,,1562.5,,1562.5,,3125,,,,
2017-07-30,2,,0,,320,,,,,,5000000,1,1,15625,,15625,,15625,,15625,,,,
2017-07-31,4,,0,,1838235.29411765,,,,,,5000000,3,3,2.7199999999999998,,0.90666667,,1,,2.72,,,,
2017-08-01,0,,0,,,,,,,,5000000,0,0,0,,,,,,0,,,,
2017-08-02,2,,0,,5000000,,,,,,5000000,1,1,1,,1,,1,,1,,,,
2017-08-03,18,,0,,29.09497181,,,,,,5000000,12,12,171851,,14320.91666667,,17186.5,,171851,,,,
2017-08-04,22,,0,,7.07852348,,,,,,5000000,18,18,706362,,39242.33333333,,2550,,706362,,,,
2017-08-05,32,,0,,13.91512431,,,,,,5000000,26,26,359321.26,,13820.04846154,,5437.5,,359321.26,,,,
2017-08-06,13,,0,,115.27643289,,,,,,5000000,8,8,43374,,5421.75,,5249.5,,43374,,,,
2017-08-07,36,,0,,5.09612962,,,,,,5000000,38,38,981136.7395,,25819.38788158,,9662.5,,981136.7395,,,,
2017-08-08,17,,0,,14.59888248,,,,,,5000000,15,15,342491.96859999996,,22832.79790667,,1703.44,,342491.9686,,,,
